SEQ,VESSELCODE,PIC,MACH_DESC,MAKER_DESC,MATERIAL,MATERIAL_DESC,PART_NO,ROB,Recondition,WORK,LAW,Optimum,UNIT,UNIT_PRICE,EXPENSIVE_AMT,MAJOR_TARGET_AMT,Vessel_survey_item
43,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008185,PRE-SEPARATOR UNIT(PSU),GRS-100EB-03-1,0,0,1,0,0,EA,0,,,
44,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008186,PRESS.GAUGE,GRS-100EB-03-10,0,0,1,0,0,EA,0,,,
45,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008187,PRESS-GAUGE FOR BACKWASHING WATER,GRS-100EB-03-10-1,0,0,1,0,0,EA,0,,,
46,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008188,AUTO AIR VENT VALVE,GRS-100EB-03-11,0,0,1,0,0,EA,0,,,
47,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008189,ELEC.HEATER,GRS-100EB-03-12,0,0,1,0,0,EA,0,,,
48,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008190,TEMP.SENSOR,GRS-100EB-03-13,0,0,1,0,0,EA,0,,,
49,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008191,PRESSURE SWITCH,GRS-100EB-03-14,0,0,1,0,0,EA,0,,,
50,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008192,EMULSION TREAT. UNIT(ETU),GRS-100EB-03-2,0,0,1,0,0,EA,0,,,
51,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008193,FOUNDATION ,GRS-100EB-03-3,0,0,1,0,0,EA,0,,,
52,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008194,CONTROL PANEL,GRS-100EB-03-4,0,0,1,0,0,EA,0,,,
53,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008195,HEAT CONTROL PANEL,GRS-100EB-03-5,0,0,1,0,0,EA,0,,,
54,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008196,SOLENOID V/V BOX,GRS-100EB-03-6,0,0,1,0,0,EA,0,,,
55,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008197,BILGE ALARM UNIT,GRS-100EB-03-7,0,0,1,0,0,EA,0,,,
56,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008198,OIL LEVEL DETECTOR,GRS-100EB-03-8,0,0,1,0,0,EA,0,,,
57,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008199,THERMOMETER,GRS-100EB-03-9,0,0,1,0,0,EA,0,,,
58,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008200,BILGE INLET (FROM O.BILGE PUMP)(5K-50A),GRS-100EB-03-N1,0,0,1,0,0,EA,0,,,
59,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008201,BACKWASHING INLET (F.W)(5K-25A),GRS-100EB-03-N2,0,0,1,0,0,EA,0,,,
60,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008202,AIR INLET (AIR VALVE CONTROL),GRS-100EB-03-N3,0,0,1,0,0,EA,0,,,
61,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008203,TO OVERBOARD(BELOW 15PPM)(5K-40A),GRS-100EB-03-N4,0,0,1,0,0,EA,0,,,
